Name,Rank,Gender,TotalBirths,LivingEstimate,PeakYear,PeakBirths,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s
"James",1,male,4712453,2198681,1947,104405,98,91,62,32,12,3,1,1,1
"John",2,male,4626606,595443,1924,103205,98,45,16,4,1,1,1,1,1
"Robert",3,male,4369024,2038234,1947,96805,98,91,62,32,12,3,1,1,1
"Michael",4,male,3980722,2524975,1957,88205,78,98,91,62,32,12,3,1,1
"William",5,male,3754397,2074956,1952,83205,91,98,78,46,20,7,2,1,1
"Mary",6,female,3690004,376103,1921,82605,98,42,13,3,1,1,1,1,1
"David",7,male,3285213,1979094,1955,72805,83,98,86,55,26,9,2,1,1
"Elizabeth",8,female,1445153,1339291,1989,32805,5,17,41,74,98,97,70,38,10
"Patricia",9,female,1426856,764523,1951,31605,94,98,76,43,18,6,1,1,1
"Nora",10,male,1353612,468251,1940,30005,98,74,41,17,5,1,1,1,1
"Jennifer",11,female,1326709,1091482,1972,29405,32,62,91,98,78,46,20,7,1
"Linda",12,female,1310338,634626,1948,29005,98,94,66,35,13,4,1,1,1
"Barbara",13,female,1291057,602191,1947,28605,98,91,62,32,12,3,1,1,1
"Alexander",14,male,495558,478788,2009,13630,1,1,5,17,41,74,98,97,39
"Faith",15,male,451642,171498,1942,10005,98,78,46,20,7,2,1,1,1
"Emma",16,female,449100,435702,2014,13804,1,1,2,9,26,55,86,98,45
"Colton",17,female,338922,134518,1943,7505,98,81,49,22,7,2,1,1,1
"Fernando",18,female,338921,134514,1943,7505,98,81,49,22,7,2,1,1,1
"Nelson",19,female,338921,134514,1943,7505,98,81,49,22,7,2,1,1,1
"Stella",20,female,338921,134514,1943,7505,98,81,49,22,7,2,1,1,1
"Olivia",21,female,283869,276281,2020,10494,1,1,1,5,15,38,72,98,51
"Noah",22,male,274655,266532,2015,8680,1,1,2,8,24,52,83,98,46
"Dawn",23,male,271298,112389,1944,6005,98,83,52,24,8,2,1,1,1
"Sophia",24,female,267840,259329,2012,7844,1,1,3,12,32,62,91,98,43
"Liam",25,male,241046,234660,2021,9237,1,1,1,4,14,36,69,98,53
"Cheryl",26,female,226235,97661,1945,5005,98,86,55,27,9,3,1,1,1
"Clarence",27,female,226234,97659,1945,5005,98,86,55,27,9,3,1,1,1
"Ava",28,female,204048,198049,2016,6620,1,1,2,7,22,49,81,98,47
"Stacy",29,male,194035,87151,1946,4291,98,88,59,29,11,3,1,1,1
"Paige",30,male,194032,87156,1946,4291,98,88,59,29,11,3,1,1,1
"Joyce",31,male,194024,87146,1946,4291,98,88,59,29,11,3,1,1,1
"Christopher",32,female,169883,79277,1947,3755,98,91,62,32,12,3,1,1,1
"Andrea",33,female,169881,79276,1947,3755,98,91,62,32,12,3,1,1,1
"Charlotte",34,female,156586,152389,2022,6228,1,1,1,4,13,34,67,98,54
"Mitchell",35,male,151109,73161,1948,3338,98,94,66,35,14,4,1,1,1
"Regina",36,male,151105,73156,1948,3338,98,94,66,35,14,4,1,1,1
"Ronald",37,male,151105,73156,1948,3338,98,94,66,35,14,4,1,1,1
"Noel",38,male,151104,73156,1948,3338,98,94,66,35,14,4,1,1,1
"Katherine",39,female,136104,68265,1949,3005,98,97,70,38,15,5,1,1,1
"Ella",40,male,104934,58038,1952,2313,91,98,78,46,20,7,2,1,1
"Howard",41,female,97531,55586,1953,2148,88,98,81,49,22,7,2,1,1
"Jackson",42,female,97531,55586,1953,2148,88,98,81,49,22,7,2,1,1
"Ross",43,female,97521,55580,1953,2148,88,98,81,49,22,8,2,1,1
"Tommy",44,male,91086,53423,1954,2005,86,98,83,52,24,9,3,1,1
"Isabel",45,male,91085,53424,1954,2005,86,98,83,52,24,9,3,1,1
"Beatrice",46,female,85482,51531,1955,1880,83,98,86,55,27,10,3,1,1
"Miguel",47,female,85482,51531,1955,1880,83,98,86,55,27,10,3,1,1
"Carmen",48,male,72193,46913,1958,1584,76,98,94,66,35,14,5,2,1
"Sofia",49,male,72183,46917,1958,1584,76,98,94,66,35,14,5,2,1
"Floyd",50,male,65467,44481,1960,1434,70,97,98,74,41,17,6,2,1
"Winston",51,male,65452,44477,1960,1434,70,97,98,74,41,17,7,2,1
"Eugene",52,female,62555,43388,1961,1369,66,94,98,76,44,19,7,3,1
"Rodney",53,female,62555,43388,1961,1369,66,94,98,76,44,19,7,3,1
"Jaden",54,male,59903,42389,1962,1309,63,91,98,78,46,21,8,3,1
"Cooper",55,male,51281,38897,1966,1116,49,81,98,88,59,29,13,5,1
"Jesse",56,male,51262,38860,1966,1116,49,81,98,88,59,29,13,5,1
"Trinity",57,female,49501,38117,1967,1076,46,78,98,91,63,32,14,6,2
"Zachary",58,male,47855,37363,1968,1039,44,76,98,94,66,35,16,6,2
"Alicia",59,female,46321,36652,1969,1005,41,74,98,97,71,38,18,7,2
"Andrew",60,female,46308,36638,1969,1005,41,74,98,97,71,38,18,7,2
"Clayton",61,male,44900,36010,1970,973,38,71,97,98,74,41,20,8,2
"Adam",62,female,43542,35348,1971,943,35,66,94,98,76,44,22,9,3
"Sean",63,female,43536,35313,1971,943,35,66,94,98,76,44,22,9,2
"Douglas",64,female,43526,35304,1971,943,35,66,94,98,76,44,22,9,2
"Phoebe",65,female,43526,35304,1971,943,35,66,94,98,76,44,22,9,2
"Anna",66,male,42275,34682,1972,914,32,63,91,98,78,46,24,10,3
"Ulysses",67,male,42275,34709,1972,914,32,63,91,98,78,46,24,10,3
"Tessa",68,male,42271,34709,1972,914,32,63,91,98,78,46,24,10,3
"Savannah",69,male,42254,34662,1972,914,32,63,91,98,78,46,23,10,3
"Zoe",70,male,42254,34662,1972,914,32,63,91,98,78,46,23,10,3
"Gary",71,female,41099,34089,1973,887,29,59,88,98,81,49,26,11,3
"Lucia",72,male,39969,33486,1974,862,27,56,86,98,83,52,28,12,3
"Hayden",73,female,38899,32915,1975,838,25,52,83,98,86,56,30,13,4
"Shane",74,female,38874,32856,1975,838,24,52,83,98,86,56,30,13,4
"Anne",75,male,37875,32302,1976,816,22,49,81,98,88,59,33,15,4
"Virginia",76,female,36957,31795,1977,794,21,47,78,98,91,63,36,17,5
"Earl",77,male,36034,31243,1978,774,19,44,76,98,94,66,39,18,5
"Amanda",78,male,36011,31252,1978,774,19,44,76,98,94,66,39,18,5
"Zara",79,male,36004,31250,1978,774,19,44,76,98,94,66,39,18,5
"Janet",80,male,35999,31204,1978,774,19,44,76,98,94,66,39,18,5
"Jonathan",81,female,35148,30690,1979,755,17,41,74,98,97,71,43,20,5
"Kate",82,female,35146,30729,1979,755,17,41,74,98,97,71,43,20,6
"Julia",83,female,33549,29689,1981,719,14,35,67,94,98,76,49,24,7
"Yasmin",84,female,33520,29699,1981,719,14,35,67,94,98,76,49,24,7
"Malcolm",85,female,32069,28709,1983,687,11,29,59,88,98,81,55,28,8
"Lane",86,male,31370,28227,1984,672,10,27,56,86,98,83,58,31,9
"Joel",87,male,31359,28232,1984,672,10,27,56,86,98,83,58,30,9
"Leland",88,male,31359,28232,1984,672,10,27,56,86,98,83,58,30,9
"Antonio",89,male,31326,28234,1984,672,10,27,56,86,98,83,58,30,9
"Beverly",90,female,30688,27757,1985,657,9,25,52,83,98,86,62,33,9
"Vivian",91,female,30688,27757,1985,657,9,25,52,83,98,86,62,33,9
"Julie",92,female,30651,27700,1985,657,9,24,52,83,98,86,62,33,9
"Zion",93,male,30036,27279,1986,643,8,23,49,81,98,88,65,36,10
"Salvador",94,male,30033,27281,1986,643,8,23,49,81,98,88,65,36,10
"Manuel",95,male,30002,27243,1986,643,8,22,49,81,98,88,65,36,10
"Aurora",96,male,28791,26361,1988,617,6,19,44,76,98,94,74,42,12
"Yolanda",97,male,28788,26363,1988,617,6,19,44,76,98,94,74,42,12
"Harry",98,male,28750,26375,1988,617,6,19,44,76,98,94,74,42,12
"Blake",99,female,28199,25911,1989,605,6,17,41,74,98,97,78,46,14
"Arthur",100,male,27614,25461,1990,593,5,16,39,71,97,98,82,49,15
"Ezra",101,male,26486,24560,1992,571,4,12,32,63,91,98,87,55,17
"Claire",102,male,26454,24589,1991,571,4,13,32,63,91,98,87,55,17
"Rex",103,female,25915,24090,2000,568,4,11,29,59,88,98,89,58,18
"Dale",104,male,25402,23675,2000,570,3,10,27,56,86,98,92,61,20
"Kyle",105,female,24879,23242,2000,570,3,9,25,53,83,98,95,65,21
"Carl",106,male,24356,22801,2000,569,3,8,23,50,81,98,98,69,23
"Tina",107,male,24305,22812,2000,569,2,8,23,50,81,98,98,69,23
"Jimmy",108,male,23338,21927,2000,563,2,6,18,41,72,92,98,72,25
"Joshua",109,male,23284,21936,2000,563,2,6,18,41,72,92,98,72,25
"Ruby",110,male,23284,21936,2000,563,2,6,18,41,72,92,98,72,25
"Ivan",111,male,23275,21927,2000,563,2,6,18,41,72,92,98,72,25
"Delilah",112,female,22818,21482,2000,558,2,5,16,38,67,89,98,74,26
"Sydney",113,male,22322,21036,2000,552,2,5,14,35,63,87,98,76,27
"Judith",114,male,22262,21040,2000,552,2,4,14,35,63,87,98,76,27
"Luna",115,male,22262,21040,2000,552,2,4,14,35,63,87,98,76,27
"Jane",116,male,21316,20136,2002,538,2,4,11,29,56,81,98,81,30
"Gilbert",117,female,20822,19690,2003,532,1,3,10,26,53,79,98,83,31
"Hector",118,female,20822,19690,2003,532,1,3,10,26,53,79,98,83,31
"Dominic",119,female,20817,19695,2003,532,1,3,10,26,53,79,98,83,31
"Harvey",120,female,20817,19695,2003,532,1,3,10,26,53,79,98,83,31
"Vanessa",121,female,20817,19695,2003,532,1,3,10,26,53,79,98,83,31
"Eva",122,male,20329,19246,2004,526,1,3,9,24,49,76,98,85,32
"Nancy",123,female,19821,18775,2005,520,1,3,8,22,46,74,98,87,34
"Eliana",124,male,19339,18333,2006,514,1,3,7,20,44,71,98,89,36
"Gavin",125,female,19040,8172,1941,371,98,76,44,20,6,2,22,22,11
"Samantha",126,female,19040,8172,1941,371,98,76,44,20,6,2,22,22,11
"Willie",127,male,18859,8400,1941,366,98,78,47,21,7,3,23,22,11
"Iris",128,female,18833,17865,2007,508,1,2,6,18,41,69,98,92,37
"Gladys",129,male,18758,8300,1941,366,98,78,47,21,7,3,22,21,11
"June",130,male,18758,8300,1941,366,98,78,47,21,7,3,22,21,11
"Melanie",131,female,18614,8568,1942,362,98,81,49,23,8,3,23,22,11
"Emery",132,male,18523,8851,1944,358,98,83,53,25,9,3,24,23,12
"Rachel",133,female,18370,9072,1945,354,98,86,56,27,10,4,24,24,12
"Eric",134,female,17972,9438,1947,346,98,91,62,32,13,5,25,25,12
"Juan",135,male,17914,9714,1947,342,98,94,67,36,14,5,27,26,13
"Frederick",136,female,17770,9918,1948,338,98,97,71,39,15,6,28,27,13
"Paula",137,female,17769,9925,1948,338,98,97,71,39,16,5,28,27,13
"Lily",138,male,17547,10040,1950,335,97,98,74,41,18,6,28,27,13
"Stephen",139,female,17501,10325,1950,331,94,98,76,44,20,6,29,28,14
"Darlene",140,female,17491,10319,1950,331,94,98,76,44,20,6,29,28,14
